City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,8,AU,1553618159,35,-33.64,115.35,17.22,6.61
Airai,64,TL,1553618449,90,-8.93,125.41,20.89,0.51
Ancud,0,CL,1553616000,55,-41.87,-73.83,19.0,3.6
Tasiilaq,75,GL,1553615400,54,65.61,-37.64,-2.0,7.7
Thompson,40,CA,1553616000,63,55.74,-97.86,0.0,4.1
Qaqortoq,75,GL,1553615400,38,60.72,-46.03,-5.0,7.2
North Fort Myers,20,US,1553618333,64,26.67,-81.88,26.67,3.66
Victor Harbor,0,AU,1553618431,87,-35.55,138.62,13.33,1.36
Souillac,0,FR,1553618444,30,45.6,-0.6,15.0,8.2
Ushuaia,75,AR,1553616000,62,-54.81,-68.31,11.0,4.6
Mahebourg,40,MU,1553618046,83,-20.41,57.7,28.0,3.1
Punta Arenas,75,CL,1553617947,71,-53.16,-70.91,11.0,8.7
Nome,1,US,1553618429,49,30.04,-94.42,21.11,4.1
Barrow,8,AR,1553618450,69,-38.31,-60.23,18.04,2.56
Ponta do Sol,80,BR,1553618450,57,-20.63,-46.0,28.29,2.21
Tobermory,0,CA,1553617034,39,45.25,-81.67,0.56,2.24
Kieta,76,PG,1553618451,100,-6.22,155.63,25.84,1.51
Kavaratti,0,IN,1553618293,100,10.57,72.64,28.89,4.51
Qaanaaq,0,GL,1553618451,79,77.48,-69.36,-22.82,2.56
Tuktoyaktuk,90,CA,1553616960,92,69.44,-133.03,-9.0,2.6
Albany,1,US,1553618225,23,42.65,-73.75,5.0,3.6
Buala,56,SB,1553618451,98,-8.15,159.59,27.04,2.11
Avarua,76,CK,1553616000,100,-21.21,-159.78,25.0,0.5
Cape Town,0,ZA,1553618290,56,-33.93,18.42,23.89,5.7
San Rafael,44,AR,1553618263,40,-34.61,-68.33,17.29,3.91
Aloleng,0,PH,1553618451,86,16.13,119.78,26.04,6.26
Grindavik,75,IS,1553616060,55,63.84,-22.43,4.0,9.3
Bosaso,0,SO,1553618452,100,11.28,49.18,26.39,1.81
Rikitea,8,PF,1553618452,98,-23.12,-134.97,26.39,3.26
Havoysund,75,NO,1553615400,63,71.0,24.66,-1.0,4.6
Maraba,75,BR,1553616000,88,-5.35,-49.1,27.0,1.5
Fairlie,40,US,1553618451,63,33.31,-95.96,17.22,4.1
Yibin,92,CN,1553618452,87,28.77,104.64,12.39,1.21
Jamestown,0,AU,1553618453,81,-33.21,138.6,6.24,2.21
San Policarpo,92,PH,1553618453,100,12.18,125.51,24.79,4.01
Cabedelo,68,BR,1553618453,95,-6.97,-34.84,28.64,5.11
Bogorodskoye,0,RU,1553618453,57,52.37,140.44,-16.72,1.51
Puerto Ayora,75,EC,1553617843,78,-0.74,-90.35,28.0,4.1
Mar del Plata,0,AR,1553618298,43,-46.43,-67.52,22.49,2.11
Krasnogorskiy,0,RU,1553618453,70,55.39,83.61,-7.52,2.06
Creston,90,US,1553618343,86,41.06,-94.36,8.0,4.6
Northam,0,GB,1553618408,62,51.04,-4.21,13.0,3.1
